=== GPU-AWARE EXPERIMENT SCHEDULER ===
[ROOT] /home/tahiti/PromptStressLab
[PYTHON_BIN] /home/tahiti/Forensics/.venv_forensics/bin/python
[ALLOWED_GPUS] [0]
[MAX_PARALLEL_MODELS] 1
[POLL_SECONDS] 30
[MAX_START_UTILIZATION] 20
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=15.1GiB util=55% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2836, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2836, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2835, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2834, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2834, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2833, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2833, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=81% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2833, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2833, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2832, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2832, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2831, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2831, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2831, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2830, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2829, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2829, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2828, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2828, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2827, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2827, qwen3_8b=2842
