dataset,label,documents_with_label
SciER,NER:Dataset,103
SciER,NER:Method,106
SciER,NER:Task,106
SciER,REL:Benchmark-For,93
SciER,REL:Compare-With,102
SciER,REL:Evaluated-With,93
SciER,REL:Part-Of,104
SciER,REL:SubClass-Of,95
SciER,REL:SubTask-Of,66
SciER,REL:Synonym-Of,103
SciER,REL:Trained-With,76
SciER,REL:Used-For,106
SciERC,NER:Generic,431
SciERC,NER:Material,310
SciERC,NER:Method,467
SciERC,NER:Metric,165
SciERC,NER:OtherScientificTerm,439
SciERC,NER:Task,431
SciERC,REL:COMPARE,172
SciERC,REL:CONJUNCTION,285
SciERC,REL:EVALUATE-FOR,217
SciERC,REL:FEATURE-OF,168
SciERC,REL:HYPONYM-OF,187
SciERC,REL:PART-OF,159
SciERC,REL:USED-FOR,481
