model_id,dataset,phase,condition,documents,json_valid_mean,json_valid_ci_low,json_valid_ci_high,schema_valid_mean,schema_valid_ci_low,schema_valid_ci_high,entity_exact_f1_mean,entity_exact_f1_ci_low,entity_exact_f1_ci_high,entity_partial_f1_mean,entity_partial_f1_ci_low,entity_partial_f1_ci_high,relation_exact_f1_mean,relation_exact_f1_ci_low,relation_exact_f1_ci_high,hallucinated_entity_rate_mean,hallucinated_entity_rate_ci_low,hallucinated_entity_rate_ci_high,truncated_at_limit_mean,truncated_at_limit_ci_low,truncated_at_limit_ci_high,prompt_tokens_mean,prompt_tokens_ci_low,prompt_tokens_ci_high,output_tokens_mean,output_tokens_ci_low,output_tokens_ci_high,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_ci_low,seconds_per_item_in_batch_ci_high
gemma_3_12b_it,EBM-NLP,ablation,A2,84,1.0,1.0,1.0,1.0,1.0,1.0,0.23848001684623005,0.21164520109848428,0.2649310562511181,0.3962639721257847,0.36279479768082445,0.4274944552613459,1.0,1.0,1.0,0.0031946111778044556,0.0007002801120448179,0.006575963718820861,1.0,1.0,1.0,732.8690476190476,704.9229166666667,759.6604166666667,768.0,768.0,768.0,32.54102852380953,32.22174420892858,32.86997041607143
gemma_3_12b_it,EBM-NLP,ablation,A3,84,1.0,1.0,1.0,1.0,1.0,1.0,0.24266775308708527,0.2149104235166928,0.2688567521245524,0.42943812464808656,0.3989162760708065,0.4594702131110351,1.0,1.0,1.0,0.001417233560090703,0.0,0.0036848072562358277,1.0,1.0,1.0,615.8690476190476,589.1994047619048,644.3708333333333,768.0,768.0,768.0,31.799871988095237,31.444913002678568,32.1652741702381
gemma_3_12b_it,EBM-NLP,ablation,A4,84,1.0,1.0,1.0,0.9880952380952381,0.9642857142857143,1.0,0.21775651185783676,0.19171751403737422,0.24444361179400462,0.3856769756462836,0.352488807391477,0.4170174723160921,1.0,1.0,1.0,0.005395794681508967,0.0008503401360544217,0.011471861471861473,1.0,1.0,1.0,667.8690476190476,640.9988095238095,695.4901785714285,768.0,768.0,768.0,31.76649022619048,31.459531146428567,32.09971931309524
gemma_3_12b_it,EBM-NLP,ablation,A5,84,1.0,1.0,1.0,0.9880952380952381,0.9642857142857143,1.0,0.25139187731732265,0.2255049303562459,0.27707891462257134,0.42937862464347065,0.3977195146858052,0.460946258199724,1.0,1.0,1.0,0.0032738095238095235,0.000744047619047619,0.00669642857142857,1.0,1.0,1.0,922.8690476190476,896.163988095238,949.9776785714286,768.0,768.0,768.0,33.3330010595238,33.01255803303571,33.64127897946426
gemma_3_12b_it,EBM-NLP,ablation,A6,84,1.0,1.0,1.0,0.9880952380952381,0.9642857142857143,1.0,0.2417233668224775,0.21343488740022185,0.271301974381623,0.415323142600469,0.3830376921331374,0.44737035466989583,1.0,1.0,1.0,0.004605926480926482,0.0010822510822510823,0.008980964059089056,1.0,1.0,1.0,814.8690476190476,788.5095238095239,842.7053571428572,768.0,768.0,768.0,33.10214858333333,32.825770044940484,33.4041780184524
gemma_3_12b_it,EBM-NLP,ablation_alias,A0,84,1.0,1.0,1.0,1.0,1.0,1.0,0.2539405306045309,0.22784779548398756,0.2814200610756221,0.4299252946724308,0.39794475677633784,0.46166445802810535,1.0,1.0,1.0,0.002991315103116346,0.0005175983436853002,0.006340243607324347,1.0,1.0,1.0,558.8690476190476,532.2455357142857,585.5282738095237,768.0,768.0,768.0,31.318959000000003,31.002241348809527,31.643427167559526
gemma_3_12b_it,EBM-NLP,ablation_alias,A1,84,1.0,1.0,1.0,1.0,1.0,1.0,0.24732348269855087,0.2198064214179364,0.27728273810703324,0.4352857725549153,0.40485072387945203,0.4655821406421787,1.0,1.0,1.0,0.004991645781119465,0.001488095238095238,0.009586466165413532,1.0,1.0,1.0,612.8690476190476,587.1970238095238,641.3577380952381,768.0,768.0,768.0,32.15487327380953,31.800815651190472,32.50558133779761
gemma_3_12b_it,EBM-NLP,main,P1,191,1.0,1.0,1.0,0.9685863874345549,0.9424083769633508,0.9895287958115183,0.23864536950360904,0.2175468261017712,0.25881917137282,0.4361638176617353,0.4118718579631803,0.4603494906703711,1.0,1.0,1.0,0.013915449151010723,0.007560284058762411,0.0216327584176702,1.0,1.0,1.0,450.0471204188482,431.6108638743455,470.0637434554974,768.0,768.0,768.0,30.984440167539276,30.719946664528813,31.24838185065445
gemma_3_12b_it,EBM-NLP,main,P2,191,1.0,1.0,1.0,0.9738219895287958,0.9528795811518325,0.9947643979057592,0.22816958727818878,0.20867312030396068,0.24793398545158674,0.41065207053428554,0.3877529799890713,0.4329911039025668,1.0,1.0,1.0,0.010400262144179606,0.0052365154863614986,0.016077059105046476,1.0,1.0,1.0,500.0471204188482,480.46374345549737,519.1293193717277,768.0,768.0,768.0,31.136195643979054,30.91163816793195,31.359667714790593
gemma_3_12b_it,EBM-NLP,main,P3,191,1.0,1.0,1.0,0.9895287958115183,0.9738219895287958,1.0,0.23524278296315154,0.21644694698516945,0.25427934286366116,0.41819417614391563,0.3973555853569306,0.4405862616209906,1.0,1.0,1.0,0.00511763502852267,0.002366744458524831,0.008301830529664583,1.0,1.0,1.0,559.0471204188482,540.3294502617802,578.710340314136,768.0,768.0,768.0,31.204641722513088,30.98581273206808,31.421353647513094
