model_id,dataset,field,n,mean,median,std,p90,p95,max,bootstrap_ci_low,bootstrap_ci_high
gemma_3_12b_it,EBM-NLP,Intervention,955,0.03357004563845889,0.008120179176330566,0.12525073732280562,0.05547425746917725,0.0847364068031311,1.0,0.026096224302708793,0.04178471032861639
gemma_3_12b_it,EBM-NLP,Outcome,955,0.041659713790054724,0.007015109062194824,0.15607396098149462,0.05851738452911378,0.08696898221969601,1.0,0.03214726417476594,0.05215702488472324
gemma_3_12b_it,EBM-NLP,Participant,955,0.03843199738657287,0.009919285774230957,0.12283332823451426,0.0675197958946228,0.11133154630661006,1.0,0.031158564855290956,0.046657059501603
gemma_3_12b_it,SciER,Dataset,80,0.29385641738772394,0.01061442494392395,0.4515326108484692,1.0,1.0,1.0,0.20502030944451688,0.3927349177002907
gemma_3_12b_it,SciER,Method,80,0.2676293574273586,0.005441874265670776,0.4398364893610144,1.0,1.0,1.0,0.17940514801070095,0.3679618891142308
gemma_3_12b_it,SciER,Task,80,0.3996189072728157,0.03562387824058533,0.4813102635208327,1.0,1.0,1.0,0.2999865180253983,0.5076994741894304
gemma_3_12b_it,SciER,__RELATIONS__,80,0.19423039704561235,0.01540464162826538,0.3618416570450352,1.0,1.0,1.0,0.12307220347225667,0.2769734564423561
gemma_3_12b_it,SciERC,Generic,500,0.26479203629493714,0.0,0.43242748607090625,1.0,1.0,1.0,0.22752410316467284,0.3033668040037155
gemma_3_12b_it,SciERC,Material,500,0.15201367723941803,1.1920928955078125e-07,0.34620097596474664,1.0,1.0,1.0,0.12300665027499198,0.1829219433277845
gemma_3_12b_it,SciERC,Method,500,0.15148926150798797,5.960464477539063e-08,0.349010300300319,1.0,1.0,1.0,0.12152386392354965,0.18175599792599675
gemma_3_12b_it,SciERC,Metric,500,0.14626943576335907,0.0,0.34807769985114423,1.0,1.0,1.0,0.11569860308468341,0.1774765953809023
gemma_3_12b_it,SciERC,OtherScientificTerm,500,0.1455596295595169,0.005439847707748413,0.33721408870541825,1.0,1.0,1.0,0.11750352645516396,0.1761165144443512
gemma_3_12b_it,SciERC,Task,500,0.1699364959001541,0.0,0.3660328169957564,1.0,1.0,1.0,0.13856929046213626,0.20186498815417284
gemma_3_12b_it,SciERC,__RELATIONS__,500,0.1275393707752228,0.008595645427703857,0.3196770587387632,1.0,1.0,1.0,0.10064813043177127,0.15578816838264464
mistral_7b_instruct_v03,EBM-NLP,Intervention,955,0.053083254966436254,0.00850057601928711,0.12988152038916093,0.12840495109558106,0.20020035505294792,1.0,0.0452628646751973,0.061473539555884145
mistral_7b_instruct_v03,EBM-NLP,Outcome,955,0.2100697605397689,0.020116090774536133,0.37492744897871905,1.0,1.0,1.0,0.18636114846193352,0.23330119398095842
mistral_7b_instruct_v03,EBM-NLP,Participant,955,0.0692834877843008,1.1920928955078125e-07,0.16557848536389327,0.19134501218795777,0.24227805137634278,1.0,0.05912732181748794,0.07981878179842265
mistral_7b_instruct_v03,SciER,Dataset,80,0.2702361814677715,0.016973257064819336,0.42565907433789685,1.0,1.0,1.0,0.18053934393450619,0.3665662002004683
mistral_7b_instruct_v03,SciER,Method,80,0.27599056288599966,0.016938745975494385,0.43539833750576035,1.0,1.0,1.0,0.18795479709282517,0.37338439105078575
mistral_7b_instruct_v03,SciER,Task,80,0.30782961249351504,0.026351064443588257,0.4445521671223286,1.0,1.0,1.0,0.21391122940927745,0.4089239090494811
mistral_7b_instruct_v03,SciER,__RELATIONS__,80,0.2803906202316284,0.03173831105232239,0.43230236597738203,1.0,1.0,1.0,0.1912300785072148,0.3773522368818521
mistral_7b_instruct_v03,SciERC,Generic,500,0.24182794928550722,0.0,0.42472573511804596,1.0,1.0,1.0,0.20532300114929675,0.2788334022581577
mistral_7b_instruct_v03,SciERC,Material,500,0.2643085268735886,0.0,0.43096879717303527,1.0,1.0,1.0,0.22780735618174078,0.30309479374289505
mistral_7b_instruct_v03,SciERC,Method,500,0.2607800906896591,0.005138903856277466,0.4260648294207336,1.0,1.0,1.0,0.2248495424568653,0.29977481883466245
mistral_7b_instruct_v03,SciERC,Metric,500,0.19453980922698974,0.0,0.3911928898582722,1.0,1.0,1.0,0.1602421277076006,0.22934684830009935
mistral_7b_instruct_v03,SciERC,OtherScientificTerm,500,0.26655438339710236,0.012739747762680054,0.4292614451933168,1.0,1.0,1.0,0.22979601094424723,0.30513918958008285
mistral_7b_instruct_v03,SciERC,Task,500,0.2714866592884064,0.0,0.43402323065243315,1.0,1.0,1.0,0.23341498648524284,0.31044557327628136
mistral_7b_instruct_v03,SciERC,__RELATIONS__,500,0.2571268745660782,0.014396846294403076,0.42507739144392664,1.0,1.0,1.0,0.22085722662210464,0.295718668705225
qwen3_8b,EBM-NLP,Intervention,955,0.040820456612172554,5.960464477539063e-08,0.13805335797136883,0.08241635560989381,0.14384958744049012,1.0,0.03245990924498173,0.05017814974510232
qwen3_8b,EBM-NLP,Outcome,955,0.05558206847824976,0.004531443119049072,0.16800944126224618,0.10555113554000856,0.16220675110816943,1.0,0.04560824898056959,0.06666834942021295
qwen3_8b,EBM-NLP,Participant,955,0.08358108435625805,0.0,0.21116145249912643,0.19888116121292118,0.32832610607147183,1.0,0.07041649695778393,0.0976405818534147
qwen3_8b,SciER,Dataset,80,0.23757522255182267,0.0,0.4281942847978464,1.0,1.0,1.0,0.1500000163540244,0.33750000748783354
qwen3_8b,SciER,Method,80,0.23872473761439322,0.0,0.4275821677401574,1.0,1.0,1.0,0.1506372345611453,0.33823672194033855
qwen3_8b,SciER,Task,80,0.23886514380574225,0.0,0.42752849587281405,1.0,1.0,1.0,0.15075960904359817,0.3382596090435982
qwen3_8b,SciER,__RELATIONS__,80,0.2391348198056221,0.0,0.427355287486199,1.0,1.0,1.0,0.15147600328549743,0.3384624811075628
qwen3_8b,SciERC,Generic,500,0.19827103877067567,0.0,0.3965693973860216,1.0,1.0,1.0,0.1631102670222521,0.23297847859859466
qwen3_8b,SciERC,Material,500,0.1935820654630661,5.960464477539063e-08,0.3863538315985411,1.0,1.0,1.0,0.16027158642411232,0.22819498232007027
qwen3_8b,SciERC,Method,500,0.14615769600868225,1.1920928955078125e-07,0.3425074981025874,1.0,1.0,1.0,0.11731401443183422,0.17718232026994227
qwen3_8b,SciERC,Metric,500,0.19223330295085908,0.0,0.38715806850644824,1.0,1.0,1.0,0.16055236322879793,0.2266078271985054
qwen3_8b,SciERC,OtherScientificTerm,500,0.1577351498603821,0.008434534072875977,0.3422343274627414,1.0,1.0,1.0,0.12784155679643153,0.18836131457984448
qwen3_8b,SciERC,Task,500,0.17230888235569,0.0,0.36518001593728533,1.0,1.0,1.0,0.14161466062664985,0.2049138484597206
qwen3_8b,SciERC,__RELATIONS__,500,0.1273991882801056,0.008405506610870361,0.31969203307039296,1.0,1.0,1.0,0.09971583875417708,0.1553438143879175
