model_id,dataset,transition,grouping,target,n,spearman_rho,p_value,p_holm,significant_holm_005
gemma_3_12b_it,EBM-NLP,P1->P2,model_id+dataset+transition,delta_entity_exact_f1,191,-0.018622833550207107,0.7981783344087956,1.0,0
gemma_3_12b_it,EBM-NLP,P1->P2,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.39311714594609154,1.8500889307727863e-08,3.7001778615455724e-07,1
gemma_3_12b_it,EBM-NLP,P1->P2,model_id+dataset+transition,delta_entity_partial_f1,191,-0.14297929240508675,0.04847371720268558,1.0,0
gemma_3_12b_it,EBM-NLP,P1->P2,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.5056277639231794,8.616695334307056e-14,2.585008600292117e-12,1
gemma_3_12b_it,EBM-NLP,P1->P2,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P1->P2,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P2->P3,model_id+dataset+transition,delta_entity_exact_f1,191,0.07715488637409158,0.2887424010985545,1.0,0
gemma_3_12b_it,EBM-NLP,P2->P3,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.44387160661234903,1.2634236782919118e-10,3.1585591957297794e-09,1
gemma_3_12b_it,EBM-NLP,P2->P3,model_id+dataset+transition,delta_entity_partial_f1,191,0.03546137162628228,0.6262426963637724,1.0,0
gemma_3_12b_it,EBM-NLP,P2->P3,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.4357914949505577,2.956797877912933e-10,6.209275543617159e-09,1
gemma_3_12b_it,EBM-NLP,P2->P3,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P2->P3,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P3->P4,model_id+dataset+transition,delta_entity_exact_f1,191,0.029137341458725607,0.6890624645850474,1.0,0
gemma_3_12b_it,EBM-NLP,P3->P4,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.14141984754091305,0.051003491357653516,0.20401396543061406,0
gemma_3_12b_it,EBM-NLP,P3->P4,model_id+dataset+transition,delta_entity_partial_f1,191,-0.025692759856383907,0.7242320829198997,1.0,0
gemma_3_12b_it,EBM-NLP,P3->P4,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.2207670027806272,0.0021478423656271337,0.013627216019740625,1
gemma_3_12b_it,EBM-NLP,P3->P4,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P3->P4,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P4->P5,model_id+dataset+transition,delta_entity_exact_f1,191,-0.056326178558997624,0.4389615214945023,1.0,0
gemma_3_12b_it,EBM-NLP,P4->P5,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.2892444758642499,4.943397825679407e-05,0.000692075695595117,1
gemma_3_12b_it,EBM-NLP,P4->P5,model_id+dataset+transition,delta_entity_partial_f1,191,-0.023937168672491523,0.7423871624071685,1.0,0
gemma_3_12b_it,EBM-NLP,P4->P5,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.18800144249725873,0.00920241760711787,0.04601208803558936,1
gemma_3_12b_it,EBM-NLP,P4->P5,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P4->P5,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P5->P6,model_id+dataset+transition,delta_entity_exact_f1,191,-0.026865128729563273,0.7121926825545613,1.0,0
gemma_3_12b_it,EBM-NLP,P5->P6,model_id+dataset+transition,abs_delta_entity_exact_f1,191,0.4984601589841831,2.1687638623687568e-13,6.506291587106271e-12,1
gemma_3_12b_it,EBM-NLP,P5->P6,model_id+dataset+transition,delta_entity_partial_f1,191,-0.15494219042133198,0.03233624660923894,1.0,0
gemma_3_12b_it,EBM-NLP,P5->P6,model_id+dataset+transition,abs_delta_entity_partial_f1,191,0.4792406176862071,2.3234607721507872e-12,5.576305853161889e-11,1
gemma_3_12b_it,EBM-NLP,P5->P6,model_id+dataset+transition,delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,EBM-NLP,P5->P6,model_id+dataset+transition,abs_delta_relation_exact_f1,191,,,,0
gemma_3_12b_it,SciER,P1->P2,model_id+dataset+transition,delta_entity_exact_f1,16,0.05150847604921027,0.8497437091571381,1.0,0
